0	0	0	0.1	0
0.1	0	0	0.2	0
0.2	0	0	0.3	0
0.3	0	0	0.5	0
0.4	0	0	0.7	0
0.5	0	0	0.9	0
0.6	0	0	1.2	0
0.7	0	0	1.5	0
0.8	0	0	1.8	0
0.9	0.1	0	2.1	0
1.0	0.2	0	2.4	0
1.1	0.3	0	2.7	0.1
1.2	0.4	0	3.0	0.2
1.3	0.5	0	3.3	0.3
1.4	0.6	0	3.6	0.5
1.5	0.7	0	3.9	0.8
1.6	0.8	0	4.2	1.1
1.7	0.9	0	4.6	1.4
1.8	1.0	0	5.1	1.8
1.9	1.2	0	5.6	2.2
2.0	1.4	0	6.1	2.6
2.1	1.7	0	6.7	3.0
2.2	2.0	0	7.3	3.4
2.3	2.3	0	7.9	3.8
2.4	2.6	0	8.5	4.2
2.5	2.9	0	9.2	4.6
2.6	3.2	0	9.9	5.0
2.7	3.5	0	10.6	5.4
2.8	3.8	0	11.3	5.8
2.9	4.1	0	12.0	6.3
3.0	4.4	0	12.8	6.8
3.1	4.7	0	13.6	7.3
3.2	5.1	0	14.4	7.8
3.3	5.5	0	15.2	8.3
3.4	5.9	0	16.0	8.8
3.5	6.3	0	16.8	9.3
3.6	6.7	0.1	17.6	9.8
3.7	7.1	0.2	18.4	10.3
3.8	7.5	0.4	19.2	10.8
3.9	7.9	0.6	20.0	11.3
4.0	8.3	0.8	20.8	11.8
4.1	8.7	1.0	21.6	12.4
4.2	9.1	1.2	22.4	13.1
4.3	9.5	1.4	23.2	13.8
4.4	9.9	1.6	24.0	14.5
4.5	10.3	1.8	24.8	15.2
4.6	10.7	2.0	25.6	15.9
4.7	11.1	2.2	26.4	16.6
4.8	11.5	2.4	27.2	17.3
4.9	12.0	2.6	28.0	18.0
5.0	12.5	2.8	28.8	18.7
5.1	13.0	3.0	29.6	19.4
5.2	13.5	3.3	30.4	20.1
5.3	14.0	3.6	31.2	20.8
5.4	14.5	3.9	32.1	21.5
5.5	15.0	4.2	33.0	22.2
5.6	15.5	4.6	33.9	22.9
5.7	16.0	5.0	34.9	23.6
5.8	16.5	5.4	35.9	24.3
5.9	17.0	5.8	36.9	25.0
6.0	17.5	6.2	37.9	25.7
6.1	18.0	6.6	38.9	26.4
6.2	18.5	7.0	39.9	27.1
6.3	19.0	7.4	40.9	27.8
6.4	19.5	7.8	41.9	28.5
6.5	20.0	8.2	42.9	29.2
6.6	20.5	8.6	43.9	29.9
6.7	21.0	9.0	44.9	30.6
6.8	21.5	9.4	45.9	31.3
6.9	22.0	9.8	47.0	32.0
7.0	22.5	10.2	48.1	32.7
7.1	23.0	10.7	49.2	33.4
7.2	23.5	11.2	50.3	34.1
7.3	24.0	11.7	51.4	34.8
7.4	24.6	12.2	52.5	35.5
7.5	25.2	12.7	53.6	36.2
7.6	25.8	13.2	54.7	37.0
7.7	26.4	13.7	55.8	37.8
7.8	27.0	14.3	56.9	38.6
7.9	27.6	14.9	58.0	39.4
8.0	28.2	15.5	59.1	40.2
8.1	28.8	16.1	60.2	41.0
8.2	29.4	16.7	61.3	41.8
8.3	30.1	17.3	62.4	42.6
