0	0	0
0.05	0	0
0.1	0	0
0.15	0	0
0.2	0	0
0.25	0	0
0.3	0	0
0.35	0	0
0.4	0	0
0.45	0	0
0.5	0	0
0.55	0	0
0.6	0	0
0.65	0	0
0.7	0	0
0.75	0	0
0.8	0	0
0.85	0	0
0.9	0	0
0.95	0	0
1.0	0	0
1.05	0	0
1.1	0.05	0
1.15	0.1	0
1.2	0.15	0
1.25	0.2	0
1.3	0.25	0
1.35	0.35	0
1.4	0.45	0
1.45	0.55	0
1.5	0.65	0
1.55	0.75	0
1.6	0.85	0
1.65	0.95	0.05
1.7	1.05	0.1
1.75	1.15	0.15
1.8	1.25	0.2
1.85	1.35	0.25
1.9	1.45	0.35
1.95	1.55	0.45
2.0	1.65	0.55
2.05	1.8	0.65
2.1	1.95	0.75
2.15	2.1	0.85
2.2	2.25	0.95
2.25	2.4	1.05
2.3	2.55	1.15
2.35	2.7	1.25
2.4	2.85	1.35
2.45	3.0	1.45
2.5	3.15	1.55
2.55	3.3	1.65
2.6	3.45	1.75
2.65	3.6	1.85
2.7	3.75	1.95
2.75	3.9	2.05
2.8	4.05	2.15
2.85	4.25	2.25
2.9	4.45	2.35
2.95	4.65	2.45
3.0	4.85	2.55
3.05	5.05	2.65
3.1	5.25	2.75
3.15	5.45	2.85
3.2	5.65	2.95
3.25	5.85	3.05
3.3	6.05	3.15
3.35	6.25	3.25
3.4	6.45	3.35
3.45	6.65	3.45
3.5	6.85	3.55
3.55	7.05	3.65
3.6	7.25	3.75
3.65	7.45	3.85
3.7	7.65	3.95
3.75	7.85	4.05
3.8	8.05	4.15
3.85	8.25	4.25
3.9	8.45	4.35
3.95	8.65	4.45
4.0	8.85	4.55
4.05	9.05	4.65
4.1	9.25	4.75
4.15	9.45	4.85
4.2	9.65	5.0
4.25	9.85	5.15
4.3	10.05	5.3
4.35	10.25	5.45
4.4	10.5	5.65
4.45	10.75	5.85
4.5	11.0	6.05
4.55	11.25	6.25
4.6	11.5	6.45
4.65	11.75	6.65
4.7	12.0	6.85
4.75	12.25	7.05
4.8	12.5	7.25
4.85	12.75	7.45
4.9	13.0	7.65
4.95	13.25	7.85
5.0	13.5	8.05
5.05	13.75	8.25
5.1	14.0	8.45
5.15	14.25	8.65
5.2	14.5	8.85
5.25	14.75	9.05
5.3	15.0	9.25
5.35	15.25	9.45
5.4	15.5	9.65
5.45	15.75	9.85
5.5	16.0	10.05
5.55	16.25	10.25
5.6	16.5	10.45
5.65	16.75	10.65
5.7	17.0	10.85
5.75	17.25	11.05
5.8	17.5	11.25
5.85	17.75	11.45
5.9	18.0	11.7
5.95	18.25	11.95
6.0	18.5	12.2
6.05	18.75	12.45
6.1	19.0	12.7
6.15	19.25	12.95
6.2	19.5	13.2
6.25	19.75	13.45
6.3	20.0	13.7
6.35	20.25	13.95
6.4	20.5	14.2
6.45	20.75	14.45
6.5	21.0	14.7
6.55	21.25	14.95
6.6	21.5	15.2
6.65	21.75	15.45
6.7	22.0	15.7
6.75	22.25	15.95
6.8	22.5	16.2
6.85	22.75	16.45
6.9	23.0	16.7
6.95	23.25	16.95
7.0	23.55	17.2
7.05	23.9	17.45
7.1	24.25	17.7
7.15	24.6	17.95
7.2	24.95	18.2
7.25	25.3	18.45
7.3	25.65	18.7
7.35	26.0	18.95
7.4	26.35	19.2
7.45	26.7	19.45
7.5	27.05	19.7
7.55	27.4	19.95
7.6	27.75	20.2
7.65	28.1	20.45
7.7	28.45	20.7
7.75	28.8	21.0
7.8	29.15	21.3
7.85	29.5	21.6
7.9	29.9	21.9
7.95	30.3	22.2
8.0	30.7	22.5
8.05	31.1	22.8
8.1	31.5	23.1
8.15	31.9	23.4
8.2	32.3	23.7
8.25	32.7	24.0
8.3	33.1	24.3
8.35	33.5	24.6
8.4	33.9	24.9
8.45	34.3	25.2
8.5	34.7	25.5
8.55	35.1	25.8
8.6	35.5	26.1
8.65	35.9	26.4
8.7	36.3	26.7
8.75	36.7	27.0
8.8	37.1	27.3
8.85	37.5	27.6
8.9	37.9	27.95
8.95	38.3	28.3
9.0	38.75	28.65
9.05	39.2	29.0
9.1	39.65	29.35
9.15	40.1	29.7
9.2	40.55	30.05
9.25	41.0	30.4
9.3	41.45	30.75
9.35	41.9	31.1
9.4	42.35	31.45
9.45	42.8	31.85
9.5	43.25	32.25
9.55	43.7	32.65
9.6	44.15	33.05
9.65	44.6	33.45
9.7	45.05	33.85
9.75	36.8	34.25
9.8	37.2	34.65
9.85	37.6	35.05
9.9	38.0	35.45
9.95	38.4	35.85
10.0	38.8	36.25
10.05	39.2	36.65
10.1	39.6	37.05
10.15	40.0	37.45
10.2	40.4	37.85
10.25	40.8	38.25
10.3	41.2	29.95
10.35	41.6	30.3
10.4	42.0	30.65
10.45	42.45	31.0
10.5	42.9	31.35
10.55	43.35	31.7
10.6	43.8	32.05
10.65	44.25	32.4
10.7	44.7	32.75
10.75	45.15	33.1
10.8	45.6	33.45
10.85	46.05	33.8
10.9	46.5	34.15
10.95	46.95	34.5
11.0	47.4	34.85
11.05	47.85	35.2
11.1	48.3	35.55
11.15	48.75	35.9
11.2	49.2	36.25
11.25	49.65	36.6
11.3	50.1	36.95
11.35	50.55	37.3
11.4	51.0	37.65
11.45	51.45	38.0
11.5	51.9	38.35
11.55	52.4	38.7
11.6	52.9	39.05
11.65	53.4	39.4
11.7	53.9	39.75
11.75	54.4	40.1
11.8	54.9	40.45
11.85	55.4	40.8
11.9	55.9	41.15
11.95	56.4	41.5
12.0	56.9	41.85
12.05	57.4	42.2
12.1	57.9	42.55
12.15	58.4	42.9
12.2	58.95	43.25
12.25	59.5	43.6
12.3	60.05	43.95
